title,artist,youtubeId,year,genre,pickedBy,start
In the Air Tonight,Phil Collins,YkADj0TPrJA,1981,Rock,Gianpaolo,0
Highway to Hell,AC/DC,l482T0yNkeo,1979,Rock,Rick,0
Californication,Red Hot Chili Peppers,YlUKcNNmywk,1999,Rock,Daren,0
Feel Good Inc.,Gorillaz,HyHNuVaZJ-k,2005,Hip-Hop,Aubrey,0
Toxicity,System Of A Down,iywaBOMvYLI,2001,Metal,Rick,0
Bad Moon Rising,Creedence Clearwater Revival,qrP5IClb6b8,1969,Rock,Adam,0
Como la Flor,Selena,FwZTgDjRLM0,1992,Latin,Sarah,0
Ruff Ryders Anthem,DMX,ThlhSnRk21E,1998,Hip-Hop,Teddy,0
Summertime Sadness,Lana Del Rey,TdrL3QxjyVw,2012,Pop,Suzanne,0
Golden Years,David Bowie,ApHM1ct4tdM,1975,Rock,Rebecca,0
Diet Mountain Dew,Lana Del Rey,meRk09bR_34,2012,Pop,Aydan,0
Jealous Type,Doja Cat,lv1MwS56aCo,2025,Pop,Caitlin,0
Booster Seat,Spacey Jane,XxKuwlnx58g,2020,Indie,Haley,0
